idx,Continent,Country,Year,Coal,Oil,Gas,Cement,Flaring,Country Code
AFG1949,Asia,Afghanistan,1949,14.656,0.0,0.0,0.0,0.0,AFG
AFG1950,Asia,Afghanistan,1950,21.984,65.952,0.0,0.0,0.0,AFG
AFG1951,Asia,Afghanistan,1951,25.648,65.952,0.0,0.0,0.0,AFG
AFG1952,Asia,Afghanistan,1952,32.976,62.288,0.0,0.0,0.0,AFG
AFG1953,Asia,Afghanistan,1953,36.64,65.952,0.0,0.0,0.0,AFG
AFG1954,Asia,Afghanistan,1954,43.968,65.952,0.0,0.0,0.0,AFG
AFG1955,Asia,Afghanistan,1955,62.288,91.6,0.0,0.0,0.0,AFG
AFG1956,Asia,Afghanistan,1956,62.288,120.912,0.0,0.0,0.0,AFG
AFG1957,Asia,Afghanistan,1957,76.944,216.176,0.0,0.0,0.0,AFG
AFG1958,Asia,Afghanistan,1958,91.6,238.16,0.0,0.0,0.0,AFG
AFG1959,Asia,Afghanistan,1959,109.92,256.48,0.0,18.32,0.0,AFG
AFG1960,Asia,Afghanistan,1960,128.24,271.136,0.0,18.32,0.0,AFG
AFG1961,Asia,Afghanistan,1961,175.872,293.12,0.0,21.984,0.0,AFG
AFG1962,Asia,Afghanistan,1962,296.784,362.736,0.0,29.312,0.0,AFG
AFG1963,Asia,Afghanistan,1963,263.808,392.048,0.0,51.296,0.0,AFG
AFG1964,Asia,Afghanistan,1964,300.448,476.32,0.0,62.288,0.0,AFG
AFG1965,Asia,Afghanistan,1965,381.056,542.272,0.0,84.272,0.0,AFG
AFG1966,Asia,Afghanistan,1966,428.688,575.248,0.0,87.936,0.0,AFG
AFG1967,Asia,Afghanistan,1967,399.376,556.928,260.144,65.952,0.0,AFG
AFG1968,Asia,Afghanistan,1968,333.424,498.304,348.08,47.632,0.0,AFG
AFG1969,Asia,Afghanistan,1969,362.736,527.616,0.0,51.296,0.0,AFG
AFG1970,Asia,Afghanistan,1970,436.016,670.512,216.176,47.632,296.784,AFG
AFG1971,Asia,Afghanistan,1971,359.072,747.456,439.68,43.968,304.112,AFG
AFG1972,Asia,Afghanistan,1972,190.528,626.544,300.448,47.632,366.4,AFG
AFG1973,Asia,Afghanistan,1973,311.44,703.488,333.424,69.616,223.504,AFG
AFG1974,Asia,Afghanistan,1974,304.112,769.44,399.376,73.28,366.4,AFG
AFG1975,Asia,Afghanistan,1975,399.376,875.696,476.32,73.28,304.112,AFG
AFG1976,Asia,Afghanistan,1976,425.024,883.024,300.448,84.272,293.12,AFG
AFG1977,Asia,Afghanistan,1977,450.672,974.624,512.96,69.616,381.056,AFG
AFG1978,Asia,Afghanistan,1978,575.248,934.32,300.448,62.288,282.128,AFG
AFG1979,Asia,Afghanistan,1979,351.744,1165.152,384.72,69.616,267.472,AFG
AFG1980,Asia,Afghanistan,1980,315.104,923.328,186.864,25.648,304.112,AFG
AFG1981,Asia,Afghanistan,1981,333.424,1014.928,304.112,36.64,293.12,AFG
AFG1982,Asia,Afghanistan,1982,384.72,992.944,395.712,43.968,282.128,AFG
AFG1983,Asia,Afghanistan,1983,384.72,1220.112,615.552,7.328,293.12,AFG
AFG1984,Asia,Afghanistan,1984,392.048,1132.176,930.656,54.96,315.104,AFG
AFG1985,Asia,Afghanistan,1985,399.376,1546.208,1190.8,36.64,329.76,AFG
AFG1986,Asia,Afghanistan,1986,425.024,1139.504,1201.792,43.968,329.76,AFG
AFG1987,Asia,Afghanistan,1987,443.344,2015.2,392.048,51.296,223.504,AFG
AFG1988,Asia,Afghanistan,1988,366.4,1821.008,439.68,51.296,186.864,AFG
AFG1989,Asia,Afghanistan,1989,337.088,1864.976,479.984,51.296,40.304,AFG
AFG1990,Asia,Afghanistan,1990,278.464,1850.32,403.04,54.96,25.648,AFG
AFG1991,Asia,Afghanistan,1991,249.152,1718.416,388.384,54.96,25.648,AFG
AFG1992,Asia,Afghanistan,1992,21.984,926.992,362.736,58.624,21.984,AFG
AFG1993,Asia,Afghanistan,1993,18.32,894.016,351.744,58.624,21.984,AFG
AFG1994,Asia,Afghanistan,1994,14.656,857.376,337.088,58.624,21.984,AFG
AFG1995,Asia,Afghanistan,1995,14.656,824.4,322.432,58.624,21.984,AFG
AFG1996,Asia,Afghanistan,1996,7.328,780.432,307.776,58.624,21.984,AFG
AFG1997,Asia,Afghanistan,1997,3.664,725.472,282.128,58.624,21.984,AFG
AFG1998,Asia,Afghanistan,1998,3.664,688.832,263.808,58.624,21.984,AFG
