,imdbID,Title,Year
0,tt0072308,The Towering Inferno,1974
1,tt0111161,The Shawshank Redemption,1994
2,tt0068646,The Godfather,1972
3,tt3082898,Kickboxer: Vengeance,2016
4,tt0071562,The Godfather: Part II,1974
5,tt0468569,The Dark Knight,2008
6,tt0116282,Fargo,1996
7,tt0167260,The Lord of the Rings: The Return of the King,2003
8,tt0060196,"The Good, the Bad and the Ugly",1966
9,tt0108052,Schindler's List,1993
10,tt0110912,Pulp Fiction,1994
11,tt0050083,12 Angry Men,1957
12,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001
13,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980
14,tt1375666,Inception,2010
15,tt0109830,Forrest Gump,1994
16,tt0137523,Fight Club,1999
17,tt0133093,The Matrix,1999
18,tt0167261,The Lord of the Rings: The Two Towers,2002
19,tt0373908,The Honeymooners,2005
20,tt0076759,Star Wars: Episode IV - A New Hope,1977
21,tt0047478,Seven Samurai,1954
22,tt2640460,Queen of the Mountains,2014
23,tt0073486,One Flew Over the Cuckoo's Nest,1975
24,tt0099685,Goodfellas,1990
25,tt0929425,Gomorrah,2008
26,tt0390022,Friday Night Lights,2004
27,tt0317248,City of God,2002
28,tt2421956,Butterfly Girl,2014
29,tt4058122,A Beginner's Guide to Snuff,2016
30,tt0114814,The Usual Suspects,1995
31,tt0102926,The Silence of the Lambs,1991
32,tt0245429,Spirited Away,2001
33,tt0114369,Se7en,1995
34,tt0120815,Saving Private Ryan,1998
35,tt4453560,Running Forever,2015
36,tt0064116,Once Upon a Time in the West,1968
37,tt0027977,Modern Times,1936
38,tt0038650,It's a Wonderful Life,1946
39,tt0816692,Interstellar,2014
40,tt0212985,Hannibal,2001
41,tt0034583,Casablanca,1942
42,tt0120586,American History X,1998
43,tt2582802,Whiplash,2014
44,tt0482571,The Prestige,2006
45,tt0253474,The Pianist,2002
46,tt0405094,The Lives of Others,2006
47,tt0110357,The Lion King,1994
48,tt0120689,The Green Mile,1999
49,tt0407887,The Departed,2006
50,tt1345836,The Dark Knight Rises,2012
51,tt0103064,Terminator 2: Judgment Day,1991
52,tt0770802,Samsara,2011
53,tt0082971,Raiders of the Lost Ark,1981
54,tt0054215,Psycho,1960
55,tt0209144,Memento,2000
56,tt0172495,Gladiator,2000
57,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
58,tt1853728,Django Unchained,2012
59,tt0118849,Children of Heaven,1997
60,tt0088763,Back to the Future,1985
61,tt0078788,Apocalypse Now,1979
62,tt0078748,Alien,1979
63,tt4387040,Airlift,2016
64,tt0910970,WALL·E,2008
65,tt0892375,U2 3D,2007
66,tt0056592,To Kill a Mockingbird,1962
67,tt0081505,The Shining,1980
68,tt1606829,The Other Dream Team,2012
69,tt0086190,Star Wars: Episode VI - Return of the Jedi,1983
70,tt0105236,Reservoir Dogs,1992
71,tt0180093,Requiem for a Dream,2000
72,tt0405508,Rang De Basanti,2006
73,tt0119698,Princess Mononoke,1997
74,tt0087843,Once Upon a Time in America,1984
75,tt0364569,Oldboy,2003
76,tt0081059,Lion of the Desert,1980
77,tt0056172,Lawrence of Arabia,1962
78,tt0082096,Das Boot,1981
79,tt0112573,Braveheart,1995
80,tt2166834,"Batman: The Dark Knight Returns, Part 2",2013
81,tt2631186,Baahubali: The Beginning,2015
82,tt0211915,Amélie,2001
83,tt0169547,American Beauty,1999
84,tt0090605,Aliens,1986
85,tt1832382,A Separation,2011
86,tt0059026,A Charlie Brown Christmas,1965
87,tt1049413,Up,2009
88,tt0105695,Unforgiven,1992
89,tt0435761,Toy Story 3,2010
90,tt0114709,Toy Story,1995
91,tt0070735,The Sting,1973
92,tt2190180,The Sound and the Shadow,2014
93,tt2106476,The Hunt,2012
94,tt0057115,The Great Escape,1963
95,tt0015624,The Big Parade,1925
96,tt0053604,The Apartment,1960
97,tt0075314,Taxi Driver,1976
98,tt0053291,Some Like It Hot,1959
99,tt0208092,Snatch,2000
100,tt0045152,Singin' in the Rain,1952
101,tt0086250,Scarface,1983
102,tt3170832,Room,2015
103,tt0081398,Raging Bull,1980
104,tt0428959,"Peace, Propaganda & the Promised Land",2004
105,tt0912593,No End in Sight,2007
106,tt0071853,Monty Python and the Holy Grail,1975
107,tt0017136,Metropolis,1927
108,tt5442430,Life,2017
109,tt0841119,Lake of Fire,2006
110,tt0119488,L.A. Confidential,1997
111,tt0055031,Judgment at Nuremberg,1961
112,tt2096673,Inside Out,2015
113,tt1645089,Inside Job,2010
114,tt0361748,Inglourious Basterds,2009
115,tt0097576,Indiana Jones and the Last Crusade,1989
116,tt0110057,Hoop Dreams,1994
117,tt0119217,Good Will Hunting,1997
118,tt0338013,Eternal Sunshine of the Spotless Mind,2004
119,tt0363163,Downfall,2004
120,tt0372784,Batman Begins,2005
121,tt0086879,Amadeus,1984
122,tt0062622,2001: A Space Odyssey,1968
123,tt1291584,Warrior,2011
124,tt0499556,War,2007
125,tt0434409,V for Vendetta,2005
126,tt0280380,Trapped,2002
127,tt0117951,Trainspotting,1996
128,tt0993846,The Wolf of Wall Street,2013
129,tt0084787,The Thing,1982
130,tt1305806,The Secret in Their Eyes,2009
131,tt0077838,The Last Waltz,1978
132,tt0080678,The Elephant Man,1980
133,tt0077416,The Deer Hunter,1978
134,tt0050212,The Bridge on the River Kwai,1957
135,tt2638024,The Brain That Sings,2013
136,tt0118715,The Big Lebowski,1998
137,tt2375605,The Act of Killing,2012
138,tt4273494,Rise of the Entrepreneur: The Search for a Better Way,2014
139,tt0032976,Rebecca,1940
140,tt0457430,Pan's Labyrinth,2006
141,tt0047296,On the Waterfront,1954
142,tt0031679,Mr. Smith Goes to Washington,1939
143,tt0120735,"Lock, Stock and Two Smoking Barrels",1998
144,tt0025316,It Happened One Night,1934
145,tt0758758,Into the Wild,2007
146,tt1255953,Incendies,2010
147,tt0347149,Howl's Moving Castle,2004
148,tt0892769,How to Train Your Dragon,2010
149,tt1105355,Growing Up Smith,2015
150,tt1205489,Gran Torino,2008
151,tt0031381,Gone with the Wind,1939
152,tt0266543,Finding Nemo,2003
153,tt0116191,Emma,1996
154,tt0095016,Die Hard,1988
155,tt1780802,Cries,2011
156,tt0112641,Casino,1995
157,tt3498820,Captain America: Civil War,2016
158,tt0083658,Blade Runner,1982
159,tt0268978,A Beautiful Mind,2001
160,tt0066580,Woodstock,1970
161,tt0379557,Touching the Void,2003
162,tt0469494,There Will Be Blood,2007
163,tt0032138,The Wizard of Oz,1939
164,tt0120382,The Truman Show,1998
165,tt0088247,The Terminator,1984
166,tt4995790,The Square,2017
167,tt0167404,The Sixth Sense,1999
168,tt0369702,The Sea Inside,2004
169,tt1663202,The Revenant,2015
170,tt0093779,The Princess Bride,1987
171,tt0338188,The Missing,2003
172,tt3659388,The Martian,2015
173,tt0056217,The Man Who Shot Liberty Valance,1962
174,tt2084970,The Imitation Game,2014
175,tt1454029,The Help,2011
176,tt2278388,The Grand Budapest Hotel,2014
177,tt0065571,The Conformist,1970
178,tt0154420,The Celebration,1998
179,tt0440963,The Bourne Ultimatum,2007
180,tt0036868,The Best Years of Our Lives,1946
181,tt0848228,The Avengers,2012
182,tt0386064,Tae Guk Gi: The Brotherhood of War,2004
183,tt0369994,Strangers with Candy,2005
184,tt0092005,Stand by Me,1986
185,tt1895587,Spotlight,2015
186,tt0307479,Solaris,2002
187,tt0401792,Sin City,2005
188,tt1130884,Shutter Island,2010
189,tt1979320,Rush,2013
190,tt0075148,Rocky,1976
191,tt1392214,Prisoners,2013
192,tt0091763,Platoon,1986
193,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003
194,tt0048452,Ordet,1955
195,tt0058414,Nothing But a Man,1964
196,tt0477348,No Country for Old Men,2007
197,tt0074958,Network,1976
198,tt0198781,"Monsters, Inc.",2001
199,tt0405159,Million Dollar Baby,2004
200,tt1392190,Mad Max: Fury Road,2015
201,tt0266697,Kill Bill: Vol. 1,2003
202,tt0107290,Jurassic Park,1993
203,tt8110640,In the Shadow of the Moon,2019
204,tt0395169,Hotel Rwanda,2004
205,tt0044706,High Noon,1952
206,tt1028532,Hachi: A Dog's Tale,2009
207,tt2015381,Guardians of the Galaxy,2014
208,tt0107048,Groundhog Day,1993
209,tt2267998,Gone Girl,2014
210,tt0083987,Gandhi,1982
211,tt0861739,Elite Squad,2007
212,tt0246578,Donnie Darko,2001
213,tt0875595,Destiny,2006
214,tt1431045,Deadpool,2016
215,tt0051459,Cat on a Hot Tin Roof,1958
216,tt0064115,Butch Cassidy and the Sundance Kid,1969
217,tt0112471,Before Sunrise,1995
218,tt0072684,Barry Lyndon,1975
219,tt1702455,Archaeology of a Woman,2012
220,tt0075686,Annie Hall,1977
221,tt1313092,Animal Kingdom,2010
222,tt0245712,Amores Perros,2000
223,tt0094625,Akira,1988
